url,keyword_hits,local_file,status
https://fonts.googleapis.com/css?family=Open+Sans%3A300%2C400%2C600%2C700&#038;subset=latin%2Clatin-ext,pe,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/css_b0a1166f5f.dat,downloaded
https://fonts.googleapis.com/css?family=Open+Sans%3A400%7CMontserrat%3A700&#038;ver=6.5.4,pe;ser,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/css_161e704478.dat,downloaded
https://wiki.cancerimagingarchive.net/display/Public/Challenge+competitions,pe,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/Challenge_competitions_590e737a09.dat,downloaded
https://wiki.cancerimagingarchive.net/display/Public/User+Guides,ser,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/User_Guides_9d622b4515.dat,downloaded
https://wiki.cancerimagingarchive.net/x/NIIiAQ,nii,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/NIIiAQ_ec36ce497d.dat,downloaded
https://www.cancerimagingarchive.net/analysis-result/breastdcedl_ispy2/,analysis,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/breastdcedl_ispy2_9d0e560898.dat,downloaded
https://www.cancerimagingarchive.net/analysis-results/,analysis,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/analysis-results_cce2ef3104.dat,downloaded
https://www.cancerimagingarchive.net/browse-analysis-results/,analysis,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/browse-analysis-results_05a218448b.dat,downloaded
https://www.cancerimagingarchive.net/pediatric-data-collections-and-analysis/,pe;analysis,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/pediatric-data-collections-and-analysis_5654074b6b.dat,downloaded
https://www.cancerimagingarchive.net/wp-content/plugins/js_composer_salient/assets/css/js_composer.min.css?ver=6.13.1,ser,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/js_composer.min_2b4914f6ac.css,downloaded
https://www.cancerimagingarchive.net/wp-content/uploads/2019/12/cropped-TCIA-Favicon-Transparent-180x180.png,pe,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/cropped-TCIA-Favicon-Transparent-180x180_1ccac61c30.png,downloaded
https://www.cancerimagingarchive.net/wp-content/uploads/2019/12/cropped-TCIA-Favicon-Transparent-192x192.png,pe,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/cropped-TCIA-Favicon-Transparent-192x192_3728a3fe19.png,downloaded
https://www.cancerimagingarchive.net/wp-content/uploads/2019/12/cropped-TCIA-Favicon-Transparent-32x32.png,pe,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/cropped-TCIA-Favicon-Transparent-32x32_68524a7172.png,downloaded
